53.32	0.456	50.14	0	25.90 92.8	0.19  -26	1.61	0.00
51.65	0.495	48.77	49	37.69  93.4	0.39 -24	1.69	432892800
51.02	0.550	38.84	59	45.88  93.5	0.40 -34	1.75	955630600
50.84	0.506	43.01	78	31.20	93.6	0.57 -31	1.69	9685460000
49.45	0.519	47.34	57	32.73	93.5	0.53 -33	1.71	1459193100
50.93	0.487	47.23	81	50.68	93.4	0.59 -30	1.67	1958287800
50.11	0.582	41.8	100	44.22	94.1	0.57 -48	1.53	2678189200
50.22	0.501	46.68	64	53.60	92.8	0.60 -34	1.69	2128785200
